rank,hand,label,notation,combos,equity_pct,hi_equity_pct,lo_equity_pct,hi_win_pct,hi_tie_pct,lo_win_pct,lo_tie_pct,hi_numerator,lo_numerator,denominator,hi_win_count,hi_tie_count,lo_win_count,lo_tie_count,deals,rank_low,rank_high
95,AdAc5h3s,AA53 (r),AA53,12,67.945769,46.509035,21.436734,62.370661,0.897671,41.932115,1.882705,4717477020864,2174358146688,10143140958720,1581586007100,22763012760,1063308390528,47741365632,2535785239680,95,95
96,AdAcTc5d,AAT5 (ds),(AT)(A5),12,67.942345,52.918569,15.023776,68.619689,0.580691,29.286592,1.52192,5367605090436,1523882782464,10143140958720,1740047948208,14725086312,742645079808,38592622848,2535785239680,96,96
97,AdAcJc5d,AAJ5 (ds),(AJ)(A5),12,67.882677,52.858901,15.023776,68.497842,0.580482,29.286592,1.52192,5361552830448,1523882782464,10143140958720,1736958174672,14719777212,742645079808,38592622848,2535785239680,97,97
98,AdAcKc5d,AAK5 (ds),(AK)(A5),12,67.878493,52.854717,15.023776,68.448293,0.581445,29.286592,1.52192,5361128411712,1523882782464,10143140958720,1735701707820,14744197560,742645079808,38592622848,2535785239680,98,98
99,AdAc9c3d,AA93 (ds),(A9)(A3),12,67.873679,51.649906,16.223773,67.257655,0.452781,31.606182,1.682726,5238922777464,1645600125696,10143140958720,1705509695436,11481543048,801464904960,42670315776,2535785239680,99,99
100,AdAc5h2s,AA52 (r),AA52,12,67.869377,46.047021,21.822356,61.533692,0.74154,42.665301,1.95882,4670614249836,2213472288768,10143140958720,1560362280768,18803859792,1081900411584,49671465600,2535785239680,100,100
101,AdAcQc5d,AAQ5 (ds),(AQ)(A5),12,67.864907,52.841131,15.023776,68.446596,0.580881,29.286592,1.52192,5359750439832,1523882782464,10143140958720,1735658675856,14729904192,742645079808,38592622848,2535785239680,101,101
102,AdAc5h4s,AA54 (r),AA54,12,67.856919,46.940544,20.916375,63.144482,1.058072,40.928015,1.809472,4761245514144,2121577450368,10143140958720,1601208458820,26830437204,1037846567040,45884316288,2535785239680,102,102
103,AdAc7d7c,AA77 (ds),(A7)(A7),6,67.816964,54.837047,12.979917,70.29575,0.257938,25.526297,0.867074,2781099502656,658285628544,5071570479360,891274626612,3270373680,323646032640,10993563264,1267892619840,103,103
104,AdAc7h6c,AA76 (ss),(A6)A7,24,67.804634,49.673252,18.131382,66.531274,0.983349,35.459775,1.60598,10076855868600,3678183336192,20286281917440,3374180426952,49871229672,1798367469312,81448397568,5071570479360,104,104
105,AdAc7c6h,AA76 (ss),(A7)A6,24,67.804404,49.673022,18.131382,66.535981,0.983539,35.459775,1.60598,10076809218960,3678183336192,20286281917440,3374419172688,49880896320,1798367469312,81448397568,5071570479360,105,105
106,AdAc7c3c,AA73 (3s),(A73)A,12,67.77751,47.716201,20.061309,63.751412,0.638298,39.197765,1.849706,4839921525696,2034846852096,10143140958720,1616598887940,16185863808,993971133888,46904584320,2535785239680,106,106
107,AdAc7c4c,AA74 (3s),(A74)A,12,67.718186,48.165158,19.553028,64.569191,0.781069,38.21782,1.776473,4885459889112,1983291207936,10143140958720,1637336008296,19806236508,969121836480,45047534976,2535785239680,107,107
108,AdAc7c2c,AA72 (3s),(A72)A,12,67.635828,47.200975,20.434853,62.796693,0.504332,39.906795,1.925821,4787661474804,2072735942016,10143140958720,1592389283580,12788771640,1011950628864,48834684288,2535785239680,108,108
109,AdAc7h3h,AA73 (ss),AA(73),12,67.622277,47.560968,20.061309,63.583172,0.651622,39.197765,1.849706,4824175982100,2034846852096,10143140958720,1612332695004,16523742384,993971133888,46904584320,2535785239680,109,109
110,AdAc7c5c,AA75 (3s),(A75)A,12,67.592637,48.672614,18.920023,65.337098,0.926946,36.986986,1.70612,4936931886864,1919084599680,10143140958720,1656808493880,23505359268,937910531712,43263536256,2535785239680,110,110
