rank,hand,label,notation,combos,equity_pct,win_pct,tie_pct,win_count,tie_count,denominator,rank_low,rank_high
121,AcKdKc6d,AKK6 (ds),(AK)(K6),12,67.061586,66.75303,0.617113,1692713472180,15648655152,2535785239680,121,121
122,AcKdKc9d,AKK9 (ds),(AK)(K9),12,67.042111,66.728033,0.628156,1692079620276,15928680132,2535785239680,122,122
123,AdAc7c6h,AA76 (ss),(A7)A6,24,67.027751,66.535981,0.983539,3374419172688,49880896320,5071570479360,123,123
124,KdKc6d6c,KK66 (ds),(K6)(K6),6,67.023503,66.90022,0.246567,848222950512,3126207048,1267892619840,124,124
125,AdAc7h6c,AA76 (ss),(A6)A7,24,67.022948,66.531274,0.983349,3374180426952,49871229672,5071570479360,125,125
126,KdKc5d5c,KK55 (ds),(K5)(K5),6,67.002089,66.878663,0.246852,847949631432,3129819912,1267892619840,126,126
127,AdAcTc7h,AAT7 (ss),(AT)A7,24,66.97821,66.562922,0.830577,3375785481048,42123290904,5071570479360,127,127
128,AdAcTh7c,AAT7 (ss),(A7)AT,24,66.976901,66.561442,0.830919,3375710448096,42140618328,5071570479360,128,128
129,AdAcJcTc,AAJT (3s),(AJT)A,12,66.970066,66.467341,1.00545,1685469010272,25496063640,2535785239680,129,129
130,AcKdKc2d,AKK2 (ds),(AK)(K2),12,66.962117,66.596441,0.731352,1688742733128,18545510532,2535785239680,130,130
131,QdQcTdTc,QQTT (ds),(QT)(QT),6,66.90446,66.687238,0.434445,845522563068,5508292188,1267892619840,131,131
132,KdKcTc8d,KKT8 (ds),(KT)(K8),12,66.891547,66.472812,0.837471,1685607744204,21236476284,2535785239680,132,132
133,AdAcJc9h,AAJ9 (ss),(AJ)A9,24,66.889166,66.466976,0.84438,3370919523384,42823304976,5071570479360,133,133
134,AdAcJh9c,AAJ9 (ss),(A9)AJ,24,66.863938,66.441496,0.844885,3369627299760,42848919888,5071570479360,134,134
135,AdAc7h5c,AA75 (ss),(A5)A7,24,66.85277,66.392372,0.920796,3367135927848,46698796344,5071570479360,135,135
136,AdAc7c5h,AA75 (ss),(A7)A5,24,66.848322,66.387658,0.921326,3366896888136,46725713328,5071570479360,136,136
137,KdKcJc9d,KKJ9 (ds),(KJ)(K9),12,66.828184,66.425198,0.805972,1684400378556,20437712316,2535785239680,137,137
138,AdAcTh9h,AAT9 (ss),AA(T9),12,66.820415,66.317935,1.00496,1681680394368,25483631772,2535785239680,138,138
139,KdKc9c8d,KK98 (ds),(K9)(K8),12,66.790613,66.368081,0.845062,1682952013200,21428964204,2535785239680,139,139
140,KdKcTc7d,KKT7 (ds),(KT)(K7),12,66.789196,66.378469,0.821454,1683215419536,20830312776,2535785239680,140,140
141,AdAc3h3c,AA33 (ss),(A3)A3,24,66.787667,66.612886,0.349562,3378319468152,17728261584,5071570479360,141,141
142,AdAcJc8h,AAJ8 (ss),(AJ)A8,24,66.764003,66.350688,0.82663,3365021917728,41923134192,5071570479360,142,142
143,QdQcJdJc,QQJJ (ds),(QJ)(QJ),6,66.753437,66.536762,0.433349,843614699436,5494401108,1267892619840,143,143
144,AdAcJh8c,AAJ8 (ss),(A8)AJ,24,66.746153,66.332585,0.827137,3364103796864,41948819880,5071570479360,144,144
145,AdAcTc9c,AAT9 (3s),(AT9)A,12,66.744102,66.247508,0.993189,1679894519172,25185134472,2535785239680,145,145
146,KdKcQcTd,KKQT (ds),(KQ)(KT),12,66.728532,66.340111,0.776842,1682242736688,19699036008,2535785239680,146,146
147,KdKcQcJd,KKQJ (ds),(KQ)(KJ),12,66.726996,66.337196,0.779601,1682168817336,19768995348,2535785239680,147,147
148,AdAc6h5c,AA65 (ss),(A5)A6,24,66.709,66.219025,0.979951,3358344532872,49698885984,5071570479360,148,148
149,AdAc6c5h,AA65 (ss),(A6)A5,24,66.697732,66.20758,0.980303,3357764091504,49716747528,5071570479360,149,149
150,AdAc9h7c,AA97 (ss),(A7)A9,24,66.649025,66.228965,0.840119,3358848636792,42607239000,5071570479360,150,150
151,AdAc9c7h,AA97 (ss),(A9)A7,24,66.639899,66.219738,0.840323,3358380671544,42617593392,5071570479360,151,151
152,KdKc9c7d,KK97 (ds),(K9)(K7),12,66.598185,66.183805,0.828761,1678279149372,21015586488,2535785239680,152,152
153,AdAcTh8h,AAT8 (ss),AA(T8),12,66.59029,66.096853,0.986875,1676074232136,25025031900,2535785239680,153,153
154,KdKc8c7d,KK87 (ds),(K8)(K7),12,66.550067,66.109187,0.881762,1676386993536,22359585096,2535785239680,154,154
155,AdAcTc8c,AAT8 (3s),(AT8)A,12,66.523079,66.035511,0.975135,1674518742336,24727339152,2535785239680,155,155
156,AdAc8c6h,AA86 (ss),(A8)A6,24,66.48583,66.067524,0.836612,3350661067776,42429362280,5071570479360,156,156
157,AdAc8h6c,AA86 (ss),(A6)A8,24,66.481915,66.063714,0.836401,3350467837104,42418670064,5071570479360,157,157
158,AdAc8h5c,AA85 (ss),(A5)A8,24,66.459978,66.068453,0.783051,3350708152584,39712977840,5071570479360,158,158
159,AdAc8c5h,AA85 (ss),(A8)A5,24,66.45607,66.064281,0.783577,3350496595488,39739656432,5071570479360,159,159
160,KdKc4d4c,KK44 (ds),(K4)(K4),6,66.455047,66.332246,0.2456,841021655844,3113948604,1267892619840,160,160
161,AdAc5h4c,AA54 (ss),(A4)A5,24,66.425547,65.940691,0.969712,3344228639496,49179630384,5071570479360,161,161
162,AdAc5c4h,AA54 (ss),(A5)A4,24,66.407847,65.922913,0.969867,3343327002384,49187495592,5071570479360,162,162
